馬名,タイム,馬体重,性齢
ドウデュース,02:30.9,506,4
スターズオンアース,02:31.0,494,4
タイトルホルダー,02:31.2,474,5
ジャスティンパレス,02:31.2,474,4
シャフリヤール,02:31.2,454,5
タスティエーラ,02:31.5,498,3
ウインマリリン,02:31.6,476,6
ソールオリエンス,02:31.6,466,3
ハーパー,02:31.6,474,3
ホウオウエミーズ,02:31.7,452,6
アイアンバローズ,02:31.8,506,6
スルーセブンシーズ,02:31.8,456,5
ライラック,02:31.8,448,4
プラダリアン,02:31.9,464,4
ディープポンド,02:32.4,500,6
ヒートオンビート,02:32.4,472,6
